1544906122.826335,interrupt,detection,(Arduino,external
1544906122.8302622,ready!,Waiting,for,first
1544906122.833876,456,-29,-1887,0
1544906122.8466358,343,-37,387,0
1544906122.8631227,266,-45,1840,0
1544906122.8789537,221,-58,2745,0
1544906122.8918605,192,-59,3327,0
1544906122.9079401,167,-71,3691,0
1544906122.9239295,154,-75,3919,0
1544906122.9369202,128,-88,4066,0
1544906122.9532373,108,-100,4174,0
1544906122.9690676,93,-113,4224,0
1544906122.9818149,92,-120,4254,0
1544906122.998197,86,-124,4269,0
1544906123.0141659,72,-134,4287,0
1544906123.0268035,59,-144,4291,0
1544906123.043166,38,-156,4294,0
1544906123.059109,27,-160,4301,0
1544906123.072049,19,-173,4301,0
1544906123.0882359,16,-175,4289,0
1544906123.1040142,5,-183,4299,0
1544906123.1169267,0,-191,4325,0
1544906123.1334093,-4,-207,4328,0
1544906123.1493108,-4,-216,4299,0
1544906123.1616533,-18,-232,4291,0
1544906123.178223,-50,-246,4296,0
1544906123.1942701,-59,-251,4300,0
1544906123.2071016,-53,-267,4290,0
1544906123.2234435,-41,-279,4282,0
1544906123.2393823,-47,-297,4296,0
1544906123.2522054,-64,-311,4306,0
1544906123.268519,-81,-317,4289,0
1544906123.2844503,-81,-321,4281,0
1544906123.2973003,-80,-326,4272,0
1544906123.313449,-78,-336,4278,0
1544906123.3293376,-86,-348,4302,0
1544906123.3422863,-100,-354,4314,0
1544906123.358575,-113,-358,4292,0
1544906123.3745534,-132,-355,4274,0
1544906123.3871567,-145,-356,4270,0
1544906123.4035637,-147,-358,4280,0
1544906123.4195082,-135,-359,4277,0
1544906123.4325225,-132,-368,4290,0
1544906123.448786,-143,-373,4296,0
1544906123.4644885,-156,-371,4292,0
1544906123.477389,-164,-374,4268,0
1544906123.4937675,-173,-376,4262,0
1544906123.5096936,-176,-378,4279,0
1544906123.5224805,-169,-379,4281,0
1544906123.5386314,-174,-374,4275,0
1544906123.5547192,-182,-378,4284,0
1544906123.5676062,-191,-382,4301,0
1544906123.5838938,-197,-384,4285,0
1544906123.599815,-206,-385,4276,0
1544906123.6124604,-218,-384,4297,0
1544906123.628912,-226,-385,4301,0
1544906123.6448457,-227,-386,4282,0
1544906123.657634,-225,-387,4276,0
1544906123.674135,-223,-391,4277,0
1544906123.6897142,-221,-401,4282,0
1544906123.7026265,-225,-408,4281,0
1544906123.719001,-228,-405,4289,0
1544906123.7347574,-232,-410,4276,0
1544906123.747551,-246,-406,4272,0
1544906123.7640219,-256,-411,4280,0
1544906123.780023,-263,-413,4277,0
1544906123.7927983,-266,-411,4274,0
1544906123.8090613,-261,-415,4263,0
1544906123.8250375,-256,-413,4269,0
1544906123.8377466,-269,-420,4274,0
1544906123.8541608,-272,-415,4278,0
1544906123.870115,-271,-415,4274,0
1544906123.8829322,-281,-422,4269,0
1544906123.899177,-287,-421,4277,0
1544906123.9150436,-289,-423,4284,0
1544906123.927942,-282,-421,4280,0
1544906123.9440844,-270,-421,4269,0
1544906123.9600358,-274,-433,4275,0
1544906123.972871,-293,-439,4278,0
1544906123.989111,-303,-442,4278,0
1544906124.0052238,-310,-443,4260,0
1544906124.0179138,-314,-439,4259,0
1544906124.0341165,-317,-444,4272,0
1544906124.0502713,-311,-450,4286,0
1544906124.0631337,-300,-448,4283,0
1544906124.0793693,-304,-454,4274,0
1544906124.0952446,-319,-461,4273,0
1544906124.1080074,-332,-463,4282,0
1544906124.12434,-334,-458,4276,0
1544906124.1403184,-326,-458,4265,0
1544906124.1529167,-326,-463,4271,0
1544906124.1697521,-328,-470,4278,0
1544906124.1851256,-333,-467,4274,0
1544906124.198083,-339,-470,4257,0
1544906124.214428,-348,-472,4263,0
1544906124.2303846,-350,-478,4261,0
1544906124.2430263,-344,-480,4262,0
1544906124.259511,-342,-482,4267,0
1544906124.2754657,-342,-480,4276,0
1544906124.2882843,-354,-480,4276,0
1544906124.3044646,-361,-482,4272,0
1544906124.3203666,-367,-483,4262,0
1544906124.3333688,-369,-484,4257,0
1544906124.3496299,-363,-486,4263,0
1544906124.3654377,-360,-486,4273,0
1544906124.3782377,-353,-489,4267,0
1544906124.394623,-360,-493,4253,0
1544906124.4104607,-374,-494,4251,0
1544906124.423382,-379,-494,4254,0
1544906124.439722,-369,-498,4266,0
1544906124.4554048,-368,-498,4268,0
1544906124.4684527,-371,-493,4266,0
1544906124.4847212,-377,-501,4267,0
1544906124.5007372,-376,-506,4269,0
1544906124.5137153,-383,-512,4268,0
1544906124.5298095,-383,-511,4262,0
1544906124.545729,-382,-514,4257,0
1544906124.558513,-389,-512,4259,0
1544906124.5746946,-383,-507,4272,0
1544906124.590674,-381,-513,4266,0
1544906124.603389,-385,-516,4260,0
1544906124.6199179,-388,-518,4267,0
1544906124.635812,-388,-516,4275,0
1544906124.648502,-390,-516,4270,0
1544906124.6648762,-392,-516,4259,0
1544906124.6808305,-394,-519,4256,0
1544906124.6936405,-394,-521,4261,0
1544906124.7099607,-395,-521,4268,0
1544906124.7257383,-390,-519,4264,0
1544906124.7386317,-388,-522,4258,0
1544906124.7550187,-393,-526,4261,0
1544906124.7709424,-407,-528,4274,0
1544906124.7835486,-406,-531,4275,0
1544906124.7999973,-403,-528,4268,0
1544906124.8159354,-397,-527,4263,0
1544906124.8287442,-401,-528,4275,0
1544906124.8449566,-408,-528,4274,0
1544906124.8608694,-405,-532,4270,0
1544906124.8733082,-407,-532,4271,0
1544906124.8897314,-410,-531,4267,0
1544906124.9060533,-415,-532,4268,0
1544906124.9188318,-415,-538,4260,0
1544906124.9352582,-410,-544,4263,0
1544906124.95109,-413,-541,4265,0
1544906124.963739,-409,-543,4260,0
1544906124.9801252,-409,-543,4259,0
1544906124.9958508,-415,-540,4259,0
1544906125.008446,-417,-549,4274,0
1544906125.0246892,-417,-550,4266,0
1544906125.0407853,-416,-545,4258,0
1544906125.053343,-418,-543,4256,0
1544906125.0697305,-421,-540,4259,0
1544906125.0858712,-415,-532,4271,0
1544906125.0985138,-413,-538,4265,0
1544906125.1149797,-421,-535,4273,0
1544906125.1313584,-431,-539,4272,0
1544906125.144148,-428,-545,4271,0
1544906125.1602893,-422,-541,4266,0
1544906125.1763074,-419,-543,4266,0
1544906125.1890128,-418,-545,4272,0
1544906125.2052603,-418,-547,4274,0
1544906125.2211585,-426,-547,4274,0
1544906125.234081,-428,-549,4268,0
1544906125.25051,-432,-552,4259,0
1544906125.2664857,-433,-557,4263,0
1544906125.2791533,-426,-556,4257,0
1544906125.295531,-418,-554,4256,0
1544906125.3114693,-433,-550,4260,0
1544906125.3242202,-447,-549,4260,0
1544906125.3405933,-445,-554,4253,0
1544906125.356327,-438,-556,4264,0
1544906125.3693843,-433,-551,4268,0
1544906125.3856232,-427,-557,4262,0
1544906125.4015796,-431,-555,4261,0
1544906125.4141762,-430,-557,4269,0
1544906125.4306414,-435,-561,4250,0
1544906125.4467046,-441,-559,4250,0
1544906125.4594028,-449,-560,4258,0
1544906125.4757755,-438,-556,4262,0
1544906125.4916623,-432,-563,4252,0
1544906125.5042472,-435,-561,4245,0
1544906125.5206554,-440,-563,4257,0
1544906125.5367699,-436,-565,4263,0
1544906125.5494807,-432,-563,4257,0
1544906125.5656362,-434,-563,4252,0
1544906125.5817766,-443,-560,4261,0
1544906125.594409,-441,-560,4268,0
1544906125.6109147,-430,-561,4275,0
1544906125.6266317,-430,-564,4269,0
1544906125.6394331,-436,-566,4262,0
1544906125.6558206,-446,-564,4259,0
1544906125.6716645,-452,-566,4274,0
1544906125.6846435,-445,-565,4274,0
1544906125.7007327,-438,-562,4271,0
1544906125.7169554,-439,-564,4277,0
1544906125.729578,-440,-565,4266,0
1544906125.746023,-438,-560,4250,0
1544906125.7618005,-444,-565,4257,0
1544906125.7744722,-440,-567,4264,0
1544906125.7909899,-442,-567,4258,0
1544906125.8069713,-443,-566,4254,0
1544906125.8198018,-448,-569,4258,0
1544906125.835874,-439,-570,4261,0
1544906125.851912,-441,-567,4253,0
1544906125.8646572,-443,-560,4259,0
1544906125.8811026,-450,-563,4262,0
1544906125.8970337,-454,-565,4262,0
1544906125.9097571,-445,-569,4261,0
1544906125.9261558,-437,-574,4255,0
1544906125.9421296,-445,-577,4252,0
1544906125.954869,-444,-573,4260,0
1544906125.9710631,-441,-574,4275,0
1544906125.986922,-438,-571,4267,0
1544906125.999877,-438,-577,4264,0
1544906126.0163171,-448,-571,4262,0
1544906126.0320575,-453,-569,4270,0
1544906126.0447795,-447,-570,4264,0
1544906126.0611959,-443,-571,4268,0
1544906126.0770652,-453,-569,4276,0
1544906126.089956,-458,-571,4273,0
1544906126.1062713,-448,-570,4274,0
1544906126.1222746,-440,-575,4267,0
1544906126.134969,-446,-572,4259,0
1544906126.1513062,-451,-566,4260,0
1544906126.1670635,-451,-573,4272,0
1544906126.179563,-448,-573,4270,0
1544906126.196264,-444,-574,4260,0
1544906126.212244,-448,-568,4250,0
1544906126.2250443,-452,-570,4256,0
1544906126.241493,-450,-572,4270,0
1544906126.2572675,-442,-573,4263,0
1544906126.2700942,-444,-570,4260,0
1544906126.286326,-458,-577,4262,0
1544906126.302522,-460,-576,4255,0
1544906126.3152766,-452,-571,4253,0
1544906126.3315146,-455,-575,4267,0
1544906126.3474166,-447,-572,4261,0
